datetime,Nuclear,region,Wind,Hydro,Coal,Natural gas,Solar,Other
2022-05-01 00:00:00,3863,TEX,5935,119,8289,28581,6772,163
2022-05-01 01:00:00,3863,TEX,6239,119,8367,29996,2561,330
2022-05-01 02:00:00,3862,TEX,7084,119,8568,30149,75,192
2022-05-01 03:00:00,3863,TEX,8803,119,8206,27331,0,139
2022-05-01 04:00:00,3863,TEX,10330,9,8480,23255,0,138
2022-05-01 05:00:00,3863,TEX,11272,4,8554,19484,0,121
2022-05-01 06:00:00,3864,TEX,12090,3,8392,16198,0,136
2022-05-01 07:00:00,3864,TEX,12893,6,8433,13217,0,116
2022-05-01 08:00:00,3865,TEX,12843,7,8427,11847,0,102
2022-05-01 09:00:00,3865,TEX,12892,7,8371,10969,0,91
2022-05-01 10:00:00,3865,TEX,13652,7,7803,10066,0,92
2022-05-01 11:00:00,3865,TEX,14720,7,7474,9486,0,101
2022-05-01 12:00:00,3866,TEX,15634,7,7204,8990,6,108
2022-05-01 13:00:00,3866,TEX,16044,40,6982,8867,559,106
2022-05-01 14:00:00,3866,TEX,16110,48,7099,9091,2503,125
2022-05-01 15:00:00,3866,TEX,18221,46,6807,8755,3827,126
2022-05-01 16:00:00,3865,TEX,20114,12,6470,9339,4407,145
2022-05-01 17:00:00,3864,TEX,20723,44,6818,10789,4571,107
2022-05-01 18:00:00,3863,TEX,21028,61,7225,12020,4896,98
2022-05-01 19:00:00,3862,TEX,21240,70,7341,13367,5271,145
2022-05-01 20:00:00,3860,TEX,21208,38,7669,14772,5429,153
2022-05-01 21:00:00,3859,TEX,21592,30,7828,16519,4894,124
2022-05-01 22:00:00,3857,TEX,22181,34,8221,17206,4308,115
2022-05-01 23:00:00,3856,TEX,22670,71,8689,17913,2951,145
2022-05-02 00:00:00,3856,TEX,22604,30,8644,18168,2185,121
2022-05-02 01:00:00,3856,TEX,22175,30,8596,18198,879,140
2022-05-02 02:00:00,3856,TEX,20834,30,8433,19838,47,171
2022-05-02 03:00:00,3857,TEX,20080,30,8314,19020,0,173
2022-05-02 04:00:00,3857,TEX,21509,11,8145,15068,0,131
2022-05-02 05:00:00,3858,TEX,22598,3,8059,10933,0,101
2022-05-02 06:00:00,3855,TEX,22314,3,7490,8903,0,176
2022-05-02 07:00:00,3857,TEX,21650,6,6690,8575,0,121
2022-05-02 08:00:00,3858,TEX,21863,6,6340,7566,0,77
2022-05-02 09:00:00,3859,TEX,21963,6,6038,6898,0,116
2022-05-02 10:00:00,3860,TEX,21419,6,6163,7545,0,76
2022-05-02 11:00:00,3860,TEX,22400,6,6332,7636,0,90
2022-05-02 12:00:00,3860,TEX,23412,38,6902,8878,0,92
2022-05-02 13:00:00,3861,TEX,23723,46,7121,9265,470,94
2022-05-02 14:00:00,3861,TEX,22448,41,6915,9507,2745,287
2022-05-02 15:00:00,3861,TEX,22582,40,7009,10486,3640,189
2022-05-02 16:00:00,3865,TEX,22617,8,7023,12531,4033,100
2022-05-02 17:00:00,3866,TEX,22566,42,7165,14332,4222,71
2022-05-02 18:00:00,3865,TEX,21987,66,7022,16457,4883,129
2022-05-02 19:00:00,3865,TEX,20622,67,6786,17842,6715,331
2022-05-02 20:00:00,3861,TEX,19548,37,7113,19140,7119,253
2022-05-02 21:00:00,3859,TEX,19052,26,7118,19992,7357,135
2022-05-02 22:00:00,3859,TEX,19122,27,6961,20765,7278,142
2022-05-02 23:00:00,3858,TEX,18953,31,7118,21258,7209,141
2022-05-03 00:00:00,3859,TEX,19134,115,7219,21062,6181,187
