datetime,Wind,region,Coal,Natural gas,Nuclear,Petroleum,Other,Solar,Hydro
2022-05-01 00:00:00,157,NY,0,5996,3306,591,185,0,3212
2022-05-01 01:00:00,187,NY,0,6409,3298,607,179,0,3130
2022-05-01 02:00:00,253,NY,0,6232,3292,636,187,0,3035
2022-05-01 03:00:00,289,NY,0,5817,3278,608,185,0,2979
2022-05-01 04:00:00,313,NY,0,5551,3267,602,190,0,2802
2022-05-01 05:00:00,306,NY,0,5443,3287,607,184,0,2520
2022-05-01 06:00:00,302,NY,0,5204,3210,593,180,0,2679
2022-05-01 07:00:00,366,NY,0,4970,3205,592,177,0,2712
2022-05-01 08:00:00,423,NY,0,4843,3205,594,180,0,2729
2022-05-01 09:00:00,465,NY,0,4958,3218,602,182,0,2419
2022-05-01 10:00:00,473,NY,0,5208,3222,607,182,0,2333
2022-05-01 11:00:00,503,NY,0,5485,3307,623,186,0,2328
2022-05-01 12:00:00,486,NY,0,5374,3307,619,196,0,2276
2022-05-01 13:00:00,436,NY,0,4934,3296,608,209,0,2677
2022-05-01 14:00:00,407,NY,0,4638,3284,634,216,0,2533
2022-05-01 15:00:00,359,NY,0,4108,3274,577,225,0,2883
2022-05-01 16:00:00,322,NY,0,3963,3272,586,226,0,2907
2022-05-01 17:00:00,423,NY,0,4002,3274,580,226,0,2644
2022-05-01 18:00:00,435,NY,0,4163,3269,524,225,0,2750
2022-05-01 19:00:00,507,NY,0,4441,3265,579,221,0,2822
2022-05-01 20:00:00,485,NY,0,4866,3271,579,217,0,2791
2022-05-01 21:00:00,564,NY,0,5236,3279,578,210,0,2859
2022-05-01 22:00:00,596,NY,0,5793,3285,600,201,0,2959
2022-05-01 23:00:00,571,NY,0,6496,3289,608,188,0,2986
2022-05-02 00:00:00,571,NY,0,7054,3292,652,185,0,2940
2022-05-02 01:00:00,637,NY,0,7209,3305,650,187,0,3142
2022-05-02 02:00:00,708,NY,0,6852,3299,651,192,0,3089
2022-05-02 03:00:00,773,NY,0,6261,3292,640,205,0,2519
2022-05-02 04:00:00,898,NY,0,5491,3288,608,207,0,2084
2022-05-02 05:00:00,740,NY,0,4937,3290,599,200,0,2219
2022-05-02 06:00:00,631,NY,0,4675,3207,586,192,0,2283
2022-05-02 07:00:00,713,NY,0,4621,3211,589,190,0,2142
2022-05-02 08:00:00,661,NY,0,4618,3201,585,193,0,2238
2022-05-02 09:00:00,617,NY,0,4803,3209,588,190,0,2393
2022-05-02 10:00:00,534,NY,0,5426,3216,591,189,0,2593
2022-05-02 11:00:00,533,NY,0,5974,3290,616,194,0,2857
2022-05-02 12:00:00,396,NY,0,6795,3283,660,193,0,3244
2022-05-02 13:00:00,335,NY,0,7257,3285,678,198,0,3543
2022-05-02 14:00:00,296,NY,0,7243,3284,680,195,0,3760
2022-05-02 15:00:00,335,NY,0,7678,3285,680,201,0,3759
2022-05-02 16:00:00,298,NY,0,7759,3293,679,201,0,3388
2022-05-02 17:00:00,391,NY,0,7632,3240,677,202,0,3678
2022-05-02 18:00:00,407,NY,0,7482,3228,677,195,0,3622
2022-05-02 19:00:00,414,NY,0,7666,3237,678,200,0,3468
2022-05-02 20:00:00,458,NY,0,7662,3249,682,200,0,3777
2022-05-02 21:00:00,453,NY,0,7764,3246,683,195,0,3842
2022-05-02 22:00:00,402,NY,0,7939,3239,678,200,0,3435
2022-05-02 23:00:00,289,NY,0,8133,3255,682,197,0,3532
2022-05-03 00:00:00,265,NY,0,8081,3254,684,198,0,3672
2022-05-03 01:00:00,213,NY,0,8033,3257,679,194,0,3410
2022-05-03 02:00:00,194,NY,0,7354,3258,659,196,0,3454
2022-05-03 03:00:00,158,NY,0,6604,3253,661,194,0,3225
2022-05-03 04:00:00,122,NY,0,5869,3247,609,194,0,3075
2022-05-03 05:00:00,111,NY,0,5628,3239,649,194,0,2992
2022-05-03 06:00:00,93,NY,0,5649,3163,646,189,0,2799
2022-05-03 07:00:00,48,NY,0,5646,3100,635,185,0,2396
2022-05-03 08:00:00,27,NY,0,5689,3039,612,181,0,2274
2022-05-03 09:00:00,52,NY,0,5757,3049,626,179,0,2284
2022-05-03 10:00:00,101,NY,0,5905,3192,608,192,0,2795
