datetime,Nuclear,region,Wind,Hydro,Coal,Natural gas,Petroleum,Solar,Other
2022-05-01 00:00:00,2121,NE,480,2047,2,5226,0,9,606
2022-05-01 01:00:00,2114,NE,505,2167,1,5262,0,0,614
2022-05-01 02:00:00,2114,NE,510,1693,1,5261,0,0,616
2022-05-01 03:00:00,2099,NE,381,1274,2,5104,0,0,603
2022-05-01 04:00:00,2106,NE,316,1256,1,4400,0,0,606
2022-05-01 05:00:00,2102,NE,302,1223,1,3612,0,0,588
2022-05-01 06:00:00,2107,NE,363,1124,2,3270,0,0,579
2022-05-01 07:00:00,2115,NE,404,969,1,3237,0,0,587
2022-05-01 08:00:00,2115,NE,346,969,0,3256,0,0,578
2022-05-01 09:00:00,2124,NE,263,960,0,3367,0,0,573
2022-05-01 10:00:00,2127,NE,277,1099,1,3422,0,1,583
2022-05-01 11:00:00,2116,NE,314,1146,2,3420,0,22,591
2022-05-01 12:00:00,2125,NE,288,1301,2,3346,0,128,586
2022-05-01 13:00:00,2103,NE,299,1202,2,2946,0,305,579
2022-05-01 14:00:00,2120,NE,283,1055,3,2696,0,440,583
2022-05-01 15:00:00,2118,NE,304,1023,4,2744,0,505,577
2022-05-01 16:00:00,2115,NE,283,1000,4,2822,2,515,568
2022-05-01 17:00:00,2111,NE,264,978,3,2824,1,513,567
2022-05-01 18:00:00,2103,NE,215,948,6,2683,0,511,563
2022-05-01 19:00:00,2130,NE,193,960,4,2746,0,512,575
2022-05-01 20:00:00,2134,NE,175,949,1,3535,0,479,572
2022-05-01 21:00:00,2123,NE,165,1083,3,3975,0,369,575
2022-05-01 22:00:00,2134,NE,132,1361,1,4837,0,208,578
2022-05-01 23:00:00,2116,NE,127,1727,2,5232,0,64,577
2022-05-02 00:00:00,2113,NE,120,1891,3,5324,0,9,590
2022-05-02 01:00:00,2113,NE,135,1919,1,5294,0,0,595
2022-05-02 02:00:00,2114,NE,148,1485,0,5058,0,0,602
2022-05-02 03:00:00,2099,NE,169,1385,2,4506,0,0,589
2022-05-02 04:00:00,2106,NE,174,989,2,4172,0,0,588
2022-05-02 05:00:00,2116,NE,173,893,4,4017,0,0,585
2022-05-02 06:00:00,2114,NE,167,883,1,4051,0,0,583
2022-05-02 07:00:00,2114,NE,154,878,0,4023,0,0,584
2022-05-02 08:00:00,2119,NE,155,881,0,4112,0,0,591
2022-05-02 09:00:00,2120,NE,140,881,0,4249,0,0,594
2022-05-02 10:00:00,2124,NE,158,936,0,4704,0,1,598
2022-05-02 11:00:00,2127,NE,174,1268,1,5547,0,23,597
2022-05-02 12:00:00,2124,NE,158,1511,1,5960,0,80,589
2022-05-02 13:00:00,2119,NE,134,1544,2,5825,0,148,591
2022-05-02 14:00:00,2123,NE,125,1553,0,5866,0,230,581
2022-05-02 15:00:00,2112,NE,136,1488,0,5739,0,268,580
2022-05-02 16:00:00,2118,NE,145,1335,1,5819,0,261,581
2022-05-02 17:00:00,2122,NE,155,1301,1,6007,0,238,572
2022-05-02 18:00:00,2118,NE,157,1336,2,6312,0,234,584
2022-05-02 19:00:00,2108,NE,203,1181,0,6209,0,232,593
2022-05-02 20:00:00,2119,NE,239,1132,1,6197,0,199,582
2022-05-02 21:00:00,2144,NE,300,1403,2,6327,0,150,596
2022-05-02 22:00:00,2126,NE,255,1789,3,6665,0,69,590
2022-05-02 23:00:00,2104,NE,266,1746,2,6648,0,17,589
