datetime,Coal,region,Hydro,Solar,Other,Petroleum,Nuclear,Natural gas
2022-05-01 00:00:00,5444,CAR,1764,200,423,0,9955,4472
2022-05-01 01:00:00,5306,CAR,1818,0,454,0,9978,4547
2022-05-01 02:00:00,5368,CAR,1230,-3,454,0,10017,4240
2022-05-01 03:00:00,5212,CAR,411,-1,453,0,10016,3951
2022-05-01 04:00:00,4735,CAR,274,-1,457,0,10056,3301
2022-05-01 05:00:00,4251,CAR,103,0,432,0,10166,2814
2022-05-01 06:00:00,3394,CAR,80,0,386,0,10318,2794
2022-05-01 07:00:00,2848,CAR,-56,-1,378,0,10433,2792
2022-05-01 08:00:00,2756,CAR,-328,1,368,0,10529,2736
2022-05-01 09:00:00,2689,CAR,-337,-1,366,0,10583,2695
2022-05-01 10:00:00,2760,CAR,-332,0,366,-1,10602,2734
2022-05-01 11:00:00,2954,CAR,-327,17,399,0,10601,2813
2022-05-01 12:00:00,3019,CAR,-334,672,339,0,10601,2713
2022-05-01 13:00:00,3055,CAR,-314,2053,321,0,10606,2482
2022-05-01 14:00:00,2990,CAR,-250,3124,320,0,10602,2467
2022-05-01 15:00:00,3021,CAR,-219,3797,313,0,10594,2546
2022-05-01 16:00:00,3230,CAR,-203,4154,356,0,10589,2839
2022-05-01 17:00:00,3590,CAR,-8,4127,340,0,10581,3316
2022-05-01 18:00:00,4108,CAR,434,3901,365,0,10576,3565
2022-05-01 19:00:00,4578,CAR,686,3650,356,0,10573,3815
2022-05-01 20:00:00,5125,CAR,947,3149,363,0,10577,3991
2022-05-01 21:00:00,5637,CAR,993,2316,375,0,10571,4781
2022-05-01 22:00:00,5906,CAR,1140,1444,427,0,10568,5265
2022-05-01 23:00:00,5968,CAR,1360,729,436,0,10586,5621
2022-05-02 00:00:00,6096,CAR,1433,183,427,0,10580,5531
2022-05-02 01:00:00,6148,CAR,1169,-1,456,0,10573,5760
2022-05-02 02:00:00,6214,CAR,1065,0,452,0,10580,4954
2022-05-02 03:00:00,5960,CAR,564,3,452,0,10580,3893
2022-05-02 04:00:00,5369,CAR,76,-1,452,0,10584,3469
