2022/06/06 09:52 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
171,13:00～14:00,06月06日,09:41,27,78

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
135,13:00～14:00,06月06日,09:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
171,13:00～14:00,06月06日,09:41,27,78

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
135,13:00～14:00,06月06日,09:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/06/06,00:00,91,92,57,158
2022/06/06,01:00,88,89,55,158
2022/06/06,02:00,88,89,55,158
2022/06/06,03:00,89,90,56,158
2022/06/06,04:00,90,90,56,158
2022/06/06,05:00,91,91,57,158
2022/06/06,06:00,95,93,59,159
2022/06/06,07:00,105,102,65,161
2022/06/06,08:00,118,117,71,164
2022/06/06,09:00,,123,,166
2022/06/06,10:00,,128,,170
2022/06/06,11:00,,131,,171
2022/06/06,12:00,,131,,172
2022/06/06,13:00,,135,,172
2022/06/06,14:00,,134,,171
2022/06/06,15:00,,133,,169
2022/06/06,16:00,,130,,165
2022/06/06,17:00,,124,,161
2022/06/06,18:00,,122,,159
2022/06/06,19:00,,122,,158
2022/06/06,20:00,,116,,158
2022/06/06,21:00,,109,,158
2022/06/06,22:00,,101,,158
2022/06/06,23:00,,99,,158

最大使用率(%),時間帯
71,08:00～09:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2022/06/06,00:00,92,0
2022/06/06,00:05,94,0
2022/06/06,00:10,95,0
2022/06/06,00:15,94,0
2022/06/06,00:20,94,0
2022/06/06,00:25,91,0
2022/06/06,00:30,93,0
2022/06/06,00:35,92,0
2022/06/06,00:40,93,0
2022/06/06,00:45,92,0
2022/06/06,00:50,89,0
2022/06/06,00:55,88,0
2022/06/06,01:00,90,0
2022/06/06,01:05,90,0
2022/06/06,01:10,90,0
2022/06/06,01:15,89,0
