sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),30.0,1.0,2021,Sep,5,14:00
AFAM VI (GAS/STEAM),148.0,4.0,2021,Sep,5,14:00
AZURA-EDO IPP (GAS),392.0,3.0,2021,Sep,5,14:00
DELTA (GAS),348.0,8.0,2021,Sep,5,14:00
GEREGU (GAS),131.0,1.0,2021,Sep,5,14:00
GEREGU NIPP (GAS),39.0,1.0,2021,Sep,5,14:00
IHOVBOR NIPP (GAS),82.4,1.0,2021,Sep,5,14:00
JEBBA (HYDRO),323.0,4.0,2021,Sep,5,14:00
KAINJI (HYDRO),305.0,4.0,2021,Sep,5,14:00
ODUKPANI NIPP (GAS),199.6,2.0,2021,Sep,5,14:00
OLORUNSOGO (GAS),152.5,5.0,2021,Sep,5,14:00
OMOKU (GAS),36.9,3.0,2021,Sep,5,14:00
OMOTOSHO (GAS),162.3,5.0,2021,Sep,5,14:00
PARAS ENERGY (GAS),48.4,7.0,2021,Sep,5,14:00
RIVERS IPP (GAS),40.0,1.0,2021,Sep,5,14:00
SAPELE (STEAM),41.0,1.0,2021,Sep,5,14:00
SHIRORO (HYDRO),448.0,3.0,2021,Sep,5,14:00
TRANS-AMADI (GAS),48.5,4.0,2021,Sep,5,14:00
