sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),70.0,1.0,2022,Jan,22,07:00
AFAM VI (GAS/STEAM),218.0,4.0,2022,Jan,22,07:00
AZURA-EDO IPP (GAS),200.0,2.0,2022,Jan,22,07:00
DELTA (GAS),449.0,9.0,2022,Jan,22,07:00
EGBIN (STEAM),521.0,3.0,2022,Jan,22,07:00
GEREGU (GAS),410.0,3.0,2022,Jan,22,07:00
GEREGU NIPP (GAS),132.0,1.0,2022,Jan,22,07:00
IBOM POWER (GAS),30.4,1.0,2022,Jan,22,07:00
JEBBA (HYDRO),412.0,5.0,2022,Jan,22,07:00
KAINJI (HYDRO),386.0,4.0,2022,Jan,22,07:00
ODUKPANI NIPP (GAS),317.5,3.0,2022,Jan,22,07:00
OLORUNSOGO (GAS),75.7,3.0,2022,Jan,22,07:00
OMOKU (GAS),52.7,3.0,2022,Jan,22,07:00
OMOTOSHO (GAS),124.9,4.0,2022,Jan,22,07:00
PARAS ENERGY (GAS),48.4,8.0,2022,Jan,22,07:00
RIVERS IPP (GAS),166.0,1.0,2022,Jan,22,07:00
SAPELE (STEAM),50.0,1.0,2022,Jan,22,07:00
SHIRORO (HYDRO),285.0,2.0,2022,Jan,22,07:00
TRANS-AMADI (GAS),92.4,4.0,2022,Jan,22,07:00
