sector,num,unit,year,month,day,hour
AFAM VI (GAS/STEAM),85.0,4.0,2022,Feb,20,04:00
ALAOJI NIPP (GAS),83.1,1.0,2022,Feb,20,04:00
AZURA-EDO IPP (GAS),396.0,3.0,2022,Feb,20,04:00
DELTA (GAS),444.0,9.0,2022,Feb,20,04:00
EGBIN (STEAM),638.0,4.0,2022,Feb,20,04:00
GEREGU (GAS),264.0,2.0,2022,Feb,20,04:00
GEREGU NIPP (GAS),80.0,1.0,2022,Feb,20,04:00
IBOM POWER (GAS),25.3,1.0,2022,Feb,20,04:00
IHOVBOR NIPP (GAS),98.4,1.0,2022,Feb,20,04:00
JEBBA (HYDRO),334.0,4.0,2022,Feb,20,04:00
KAINJI (HYDRO),362.0,4.0,2022,Feb,20,04:00
ODUKPANI NIPP (GAS),200.3,2.0,2022,Feb,20,04:00
OLORUNSOGO (GAS),90.2,3.0,2022,Feb,20,04:00
OMOKU (GAS),43.2,3.0,2022,Feb,20,04:00
OMOTOSHO (GAS),129.6,4.0,2022,Feb,20,04:00
OMOTOSHO NIPP (GAS),185.9,2.0,2022,Feb,20,04:00
PARAS ENERGY (GAS),37.9,6.0,2022,Feb,20,04:00
RIVERS IPP (GAS),150.0,1.0,2022,Feb,20,04:00
SAPELE (STEAM),48.0,1.0,2022,Feb,20,04:00
SAPELE NIPP (GAS),88.8,1.0,2022,Feb,20,04:00
SHIRORO (HYDRO),120.0,2.0,2022,Feb,20,04:00
TRANS-AMADI (GAS),92.2,4.0,2022,Feb,20,04:00
