sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),120.0,2.0,2021,May,11,06:00
ALAOJI NIPP (GAS),112.4,1.0,2021,May,11,06:00
AZURA-EDO IPP (GAS),456.0,3.0,2021,May,11,06:00
DELTA (GAS),357.0,8.0,2021,May,11,06:00
EGBIN (STEAM),670.0,5.0,2021,May,11,06:00
GEREGU (GAS),371.0,3.0,2021,May,11,06:00
JEBBA (HYDRO),426.0,5.0,2021,May,11,06:00
KAINJI (HYDRO),272.0,4.0,2021,May,11,06:00
ODUKPANI NIPP (GAS),453.8,4.0,2021,May,11,06:00
OLORUNSOGO (GAS),90.8,3.0,2021,May,11,06:00
OMOKU (GAS),40.8,2.0,2021,May,11,06:00
OMOTOSHO (GAS),67.1,2.0,2021,May,11,06:00
PARAS ENERGY (GAS),53.2,8.0,2021,May,11,06:00
SHIRORO (HYDRO),247.0,2.0,2021,May,11,06:00
TRANS-AMADI (GAS),43.8,3.0,2021,May,11,06:00
