unit,num,sector,year,month,day,hour
4,0.00,AFAM VI (GAS/STEAM),2018,Feb,2,11:00
4,447.00,EGBIN (STEAM),2018,Feb,2,11:00
1,105.00,GEREGU NIPP (GAS),2018,Feb,2,11:00
1,96.30,IHOVBOR NIPP (GAS),2018,Feb,2,11:00
4,110.10,OLORUNSOGO (GAS),2018,Feb,2,11:00
4,135.20,OMOTOSHO (GAS),2018,Feb,2,11:00
8,69.40,PARAS ENERGY (GAS),2018,Feb,2,11:00
