sector,num,unit,year,month,day,hour
AFAM VI (GAS/STEAM),407.0,4.0,2020,Mar,17,19:15
DELTA (GAS),278.0,1.0,2020,Mar,17,19:15
EGBIN (STEAM),672.0,4.0,2020,Mar,17,19:15
GEREGU (GAS),395.0,3.0,2020,Mar,17,19:15
GEREGU NIPP (GAS),100.0,1.0,2020,Mar,17,19:15
JEBBA (HYDRO),272.0,3.0,2020,Mar,17,19:15
ODUKPANI NIPP (GAS),330.1,1.0,2020,Mar,17,19:15
OLORUNSOGO (GAS),90.2,1.0,2020,Mar,17,19:15
OMOKU (GAS),89.4,5.0,2020,Mar,17,19:15
OMOTOSHO (GAS),96.9,3.0,2020,Mar,17,19:15
RIVERS IPP (GAS),40.0,1.0,2020,Mar,17,19:15
SHIRORO (HYDRO),353.0,3.0,2020,Mar,17,19:15
