sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),50.0,1.0,2019,Sep,5,20:00
AFAM VI (GAS/STEAM),131.0,4.0,2019,Sep,5,20:00
ALAOJI NIPP (GAS),71.2,1.0,2019,Sep,5,20:00
AZURA-EDO IPP (GAS),138.0,3.0,2019,Sep,5,20:00
EGBIN (STEAM),401.0,3.0,2019,Sep,5,20:00
GEREGU (GAS),134.0,1.0,2019,Sep,5,20:00
GEREGU NIPP (GAS),80.0,1.0,2019,Sep,5,20:00
IBOM POWER (GAS),68.1,1.0,2019,Sep,5,20:00
IHOVBOR NIPP (GAS),75.2,1.0,2019,Sep,5,20:00
JEBBA (HYDRO),326.0,4.0,2019,Sep,5,20:00
KAINJI (HYDRO),303.0,4.0,2019,Sep,5,20:00
ODUKPANI NIPP (GAS),299.9,3.0,2019,Sep,5,20:00
OLORUNSOGO (GAS),84.2,3.0,2019,Sep,5,20:00
OMOKU (GAS),83.6,4.0,2019,Sep,5,20:00
OMOTOSHO (GAS),135.7,4.0,2019,Sep,5,20:00
OMOTOSHO NIPP (GAS),71.3,1.0,2019,Sep,5,20:00
PARAS ENERGY (GAS),68.9,8.0,2019,Sep,5,20:00
RIVERS IPP (GAS),105.0,1.0,2019,Sep,5,20:00
SAPELE NIPP (GAS),73.6,1.0,2019,Sep,5,20:00
SHIRORO (HYDRO),416.0,4.0,2019,Sep,5,20:00
TRANS-AMADI (GAS),65.7,3.0,2019,Sep,5,20:00
