sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),100.0,2.0,2021,Jul,31,15:00
ALAOJI NIPP (GAS),99.3,1.0,2021,Jul,31,15:00
AZURA-EDO IPP (GAS),426.0,3.0,2021,Jul,31,15:00
DELTA (GAS),423.0,9.0,2021,Jul,31,15:00
EGBIN (STEAM),540.0,3.0,2021,Jul,31,15:00
GEREGU (GAS),405.0,3.0,2021,Jul,31,15:00
GEREGU NIPP (GAS),135.0,1.0,2021,Jul,31,15:00
IBOM POWER (GAS),25.6,1.0,2021,Jul,31,15:00
JEBBA (HYDRO),170.0,2.0,2021,Jul,31,15:00
KAINJI (HYDRO),108.0,2.0,2021,Jul,31,15:00
ODUKPANI NIPP (GAS),206.6,2.0,2021,Jul,31,15:00
OLORUNSOGO (GAS),121.7,4.0,2021,Jul,31,15:00
OMOKU (GAS),40.1,2.0,2021,Jul,31,15:00
OMOTOSHO (GAS),132.1,4.0,2021,Jul,31,15:00
OMOTOSHO NIPP (GAS),108.1,1.0,2021,Jul,31,15:00
PARAS ENERGY (GAS),49.2,8.0,2021,Jul,31,15:00
SAPELE NIPP (GAS),103.1,1.0,2021,Jul,31,15:00
TRANS-AMADI (GAS),88.4,4.0,2021,Jul,31,15:00
