unit,num,sector,year,month,day,hour
1,62.00,AFAM IV &amp; V (GAS),2018,Jan,2,02:00
4,559.00,EGBIN (STEAM),2018,Jan,2,02:00
1,87.00,GEREGU NIPP (GAS),2018,Jan,2,02:00
1,80.00,IHOVBOR NIPP (GAS),2018,Jan,2,02:00
1,100.00,OLORUNSOGO NIPP (GAS),2018,Jan,2,02:00
1,85.50,OMOTOSHO NIPP (GAS),2018,Jan,2,02:00
8,66.20,PARAS ENERGY (GAS),2018,Jan,2,02:00
