sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),100.0,2.0,2021,Mar,28,06:00
AZURA-EDO IPP (GAS),85.0,1.0,2021,Mar,28,06:00
DELTA (GAS),293.0,7.0,2021,Mar,28,06:00
EGBIN (STEAM),964.0,5.0,2021,Mar,28,06:00
GEREGU (GAS),420.0,3.0,2021,Mar,28,06:00
GEREGU NIPP (GAS),0.0,1.0,2021,Mar,28,06:00
JEBBA (HYDRO),256.0,3.0,2021,Mar,28,06:00
KAINJI (HYDRO),376.0,4.0,2021,Mar,28,06:00
ODUKPANI NIPP (GAS),438.8,4.0,2021,Mar,28,06:00
OLORUNSOGO (GAS),93.1,3.0,2021,Mar,28,06:00
OMOKU (GAS),37.7,2.0,2021,Mar,28,06:00
OMOTOSHO (GAS),98.1,3.0,2021,Mar,28,06:00
PARAS ENERGY (GAS),56.4,8.0,2021,Mar,28,06:00
RIVERS IPP (GAS),60.0,1.0,2021,Mar,28,06:00
SAPELE (STEAM),50.0,1.0,2021,Mar,28,06:00
SHIRORO (HYDRO),292.0,2.0,2021,Mar,28,06:00
TRANS-AMADI (GAS),74.1,4.0,2021,Mar,28,06:00
