sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),48.0,1.0,2022,Feb,27,11:00
AFAM VI (GAS/STEAM),125.0,4.0,2022,Feb,27,11:00
ALAOJI NIPP (GAS),90.7,1.0,2022,Feb,27,11:00
AZURA-EDO IPP (GAS),431.0,3.0,2022,Feb,27,11:00
DELTA (GAS),413.0,9.0,2022,Feb,27,11:00
EGBIN (STEAM),665.0,4.0,2022,Feb,27,11:00
IBOM POWER (GAS),25.1,1.0,2022,Feb,27,11:00
IHOVBOR NIPP (GAS),91.0,1.0,2022,Feb,27,11:00
JEBBA (HYDRO),329.0,4.0,2022,Feb,27,11:00
KAINJI (HYDRO),412.0,4.0,2022,Feb,27,11:00
ODUKPANI NIPP (GAS),203.4,2.0,2022,Feb,27,11:00
OLORUNSOGO (GAS),75.8,3.0,2022,Feb,27,11:00
OMOKU (GAS),41.4,3.0,2022,Feb,27,11:00
OMOTOSHO (GAS),64.4,2.0,2022,Feb,27,11:00
OMOTOSHO NIPP (GAS),193.8,2.0,2022,Feb,27,11:00
PARAS ENERGY (GAS),74.2,10.0,2022,Feb,27,11:00
RIVERS IPP (GAS),159.0,1.0,2022,Feb,27,11:00
SHIRORO (HYDRO),300.0,2.0,2022,Feb,27,11:00
TRANS-AMADI (GAS),92.0,4.0,2022,Feb,27,11:00
