sector,num,unit,year,month,day,hour
AZURA-EDO IPP (GAS),429.0,3.0,2021,Apr,19,19:45
EGBIN (STEAM),791.0,5.0,2021,Apr,19,19:45
GEREGU (GAS),273.0,2.0,2021,Apr,19,19:45
GEREGU NIPP (GAS),0.0,1.0,2021,Apr,19,19:45
JEBBA (HYDRO),368.0,4.0,2021,Apr,19,19:45
ODUKPANI NIPP (GAS),326.1,3.0,2021,Apr,19,19:45
OLORUNSOGO (GAS),95.6,1.0,2021,Apr,19,19:45
OMOKU (GAS),38.7,2.0,2021,Apr,19,19:45
OMOTOSHO (GAS),94.6,3.0,2021,Apr,19,19:45
PARAS ENERGY (GAS),54.84,1.0,2021,Apr,19,19:45
RIVERS IPP (GAS),160.0,1.0,2021,Apr,19,19:45
SHIRORO (HYDRO),264.0,2.0,2021,Apr,19,19:45
TRANS-AMADI (GAS),72.4,4.0,2021,Apr,19,19:45
