sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),62.0,1.0,2018,Nov,16,08:00
AFAM VI (GAS/STEAM),120.0,4.0,2018,Nov,16,08:00
GEREGU (GAS),95.0,1.0,2018,Nov,16,08:00
GEREGU NIPP (GAS),0.0,3.0,2018,Nov,16,08:00
IBOM POWER (GAS),85.5,1.0,2018,Nov,16,08:00
IHOVBOR NIPP (GAS),85.7,1.0,2018,Nov,16,08:00
OMOKU (GAS),57.1,3.0,2018,Nov,16,08:00
OMOTOSHO (GAS),146.4,5.0,2018,Nov,16,08:00
OMOTOSHO NIPP (GAS),172.6,2.0,2018,Nov,16,08:00
PARAS ENERGY (GAS),68.7,8.0,2018,Nov,16,08:00
RIVERS IPP (GAS),147.0,1.0,2018,Nov,16,08:00
