sector,num,unit,year,month,day,hour
AFAM VI (GAS/STEAM),116.0,4.0,2019,Sep,30,17:00
ALAOJI NIPP (GAS),72.6,1.0,2019,Sep,30,17:00
AZURA-EDO IPP (GAS),75.0,1.0,2019,Sep,30,17:00
DELTA (GAS),319.0,9.0,2019,Sep,30,17:00
EGBIN (STEAM),362.0,3.0,2019,Sep,30,17:00
GEREGU (GAS),80.0,1.0,2019,Sep,30,17:00
GEREGU NIPP (GAS),79.0,1.0,2019,Sep,30,17:00
IBOM POWER (GAS),63.2,1.0,2019,Sep,30,17:00
IHOVBOR NIPP (GAS),79.1,1.0,2019,Sep,30,17:00
JEBBA (HYDRO),386.0,5.0,2019,Sep,30,17:00
KAINJI (HYDRO),224.0,4.0,2019,Sep,30,17:00
ODUKPANI NIPP (GAS),161.7,2.0,2019,Sep,30,17:00
OMOKU (GAS),64.9,4.0,2019,Sep,30,17:00
OMOTOSHO (GAS),91.4,3.0,2019,Sep,30,17:00
OMOTOSHO NIPP (GAS),80.8,1.0,2019,Sep,30,17:00
PARAS ENERGY (GAS),59.3,8.0,2019,Sep,30,17:00
RIVERS IPP (GAS),127.0,1.0,2019,Sep,30,17:00
SAPELE (STEAM),52.0,1.0,2019,Sep,30,17:00
SAPELE NIPP (GAS),71.2,1.0,2019,Sep,30,17:00
TRANS-AMADI (GAS),51.5,3.0,2019,Sep,30,17:00
