sector,num,unit,year,month,day,hour
AFAM VI (GAS/STEAM),400.3,4.0,2018,Jan,24,12:00
EGBIN (STEAM),563.0,4.0,2018,Jan,24,12:00
GEREGU (GAS),134.0,1.0,2018,Jan,24,12:00
GEREGU NIPP (GAS),92.0,1.0,2018,Jan,24,12:00
IBOM POWER (GAS),67.8,1.0,2018,Jan,24,12:00
IHOVBOR NIPP (GAS),87.1,1.0,2018,Jan,24,12:00
ODUKPANI NIPP (GAS),270.4,3.0,2018,Jan,24,12:00
OLORUNSOGO (GAS),133.2,4.0,2018,Jan,24,12:00
OMOTOSHO NIPP (GAS),205.5,2.0,2018,Jan,24,12:00
PARAS ENERGY (GAS),69.4,9.0,2018,Jan,24,12:00
SHIRORO (HYDRO),105.0,4.0,2018,Jan,24,12:00
