sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),30.0,1.0,2020,Aug,13,08:00
AFAM VI (GAS/STEAM),265.0,4.0,2020,Aug,13,08:00
AZURA-EDO IPP (GAS),384.0,3.0,2020,Aug,13,08:00
DELTA (GAS),313.0,9.0,2020,Aug,13,08:00
EGBIN (STEAM),447.0,4.0,2020,Aug,13,08:00
GEREGU (GAS),190.0,2.0,2020,Aug,13,08:00
GEREGU NIPP (GAS),80.0,1.0,2020,Aug,13,08:00
KAINJI (HYDRO),263.0,4.0,2020,Aug,13,08:00
ODUKPANI NIPP (GAS),192.3,2.0,2020,Aug,13,08:00
OLORUNSOGO (GAS),140.7,5.0,2020,Aug,13,08:00
OMOKU (GAS),91.4,5.0,2020,Aug,13,08:00
OMOTOSHO NIPP (GAS),100.1,1.0,2020,Aug,13,08:00
PARAS ENERGY (GAS),50.8,8.0,2020,Aug,13,08:00
RIVERS IPP (GAS),120.0,1.0,2020,Aug,13,08:00
SAPELE (STEAM),45.3,2.0,2020,Aug,13,08:00
SHIRORO (HYDRO),287.0,3.0,2020,Aug,13,08:00
TRANS-AMADI (GAS),43.6,4.0,2020,Aug,13,08:00
