sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),70.0,1.0,2021,Oct,25,16:00
AZURA-EDO IPP (GAS),396.0,3.0,2021,Oct,25,16:00
DELTA (GAS),289.0,7.0,2021,Oct,25,16:00
GEREGU (GAS),211.0,2.0,2021,Oct,25,16:00
GEREGU NIPP (GAS),127.0,1.0,2021,Oct,25,16:00
JEBBA (HYDRO),335.0,4.0,2021,Oct,25,16:00
KAINJI (HYDRO),385.0,4.0,2021,Oct,25,16:00
ODUKPANI NIPP (GAS),297.7,3.0,2021,Oct,25,16:00
OLORUNSOGO (GAS),183.5,6.0,2021,Oct,25,16:00
OMOKU (GAS),55.9,3.0,2021,Oct,25,16:00
OMOTOSHO (GAS),156.1,5.0,2021,Oct,25,16:00
OMOTOSHO NIPP (GAS),103.8,1.0,2021,Oct,25,16:00
PARAS ENERGY (GAS),40.0,7.0,2021,Oct,25,16:00
RIVERS IPP (GAS),105.0,1.0,2021,Oct,25,16:00
SAPELE NIPP (GAS),85.6,1.0,2021,Oct,25,16:00
SHIRORO (HYDRO),579.0,4.0,2021,Oct,25,16:00
TRANS-AMADI (GAS),80.7,4.0,2021,Oct,25,16:00
