unit,num,sector,year,month,day,hour
4,0.00,AFAM VI (GAS/STEAM),2018,Feb,2,09:00
4,402.00,EGBIN (STEAM),2018,Feb,2,09:00
1,107.00,GEREGU NIPP (GAS),2018,Feb,2,09:00
1,88.90,IHOVBOR NIPP (GAS),2018,Feb,2,09:00
3,99.80,OLORUNSOGO (GAS),2018,Feb,2,09:00
2,197.30,OMOTOSHO NIPP (GAS),2018,Feb,2,09:00
8,69.40,PARAS ENERGY (GAS),2018,Feb,2,09:00
