sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),70.0,1.0,2020,Dec,24,21:30
AFAM VI (GAS/STEAM),269.0,4.0,2020,Dec,24,21:30
AZURA-EDO IPP (GAS),405.0,3.0,2020,Dec,24,21:30
EGBIN (STEAM),805.0,4.0,2020,Dec,24,21:30
GEREGU (GAS),250.0,3.0,2020,Dec,24,21:30
GEREGU NIPP (GAS),130.0,1.0,2020,Dec,24,21:30
IBOM POWER (GAS),91.2,1.0,2020,Dec,24,21:30
ODUKPANI NIPP (GAS),408.4,4.0,2020,Dec,24,21:30
OLORUNSOGO (GAS),178.5,1.0,2020,Dec,24,21:30
OMOKU (GAS),35.1,4.0,2020,Dec,24,21:30
OMOTOSHO (GAS),121.5,4.0,2020,Dec,24,21:30
OMOTOSHO NIPP (GAS),106.2,1.0,2020,Dec,24,21:30
RIVERS IPP (GAS),158.0,1.0,2020,Dec,24,21:30
SAPELE (STEAM),58.0,1.0,2020,Dec,24,21:30
SAPELE NIPP (GAS),90.1,1.0,2020,Dec,24,21:30
SHIRORO (HYDRO),430.0,3.0,2020,Dec,24,21:30
TRANS-AMADI (GAS),89.7,4.0,2020,Dec,24,21:30
