unit,num,sector,year,month,day,hour
4,0.00,AFAM VI (GAS/STEAM),2018,Feb,3,08:00
4,541.00,EGBIN (STEAM),2018,Feb,3,08:00
1,76.00,IHOVBOR NIPP (GAS),2018,Feb,3,08:00
5,171.60,OLORUNSOGO (GAS),2018,Feb,3,08:00
2,192.10,OMOTOSHO NIPP (GAS),2018,Feb,3,08:00
9,69.00,PARAS ENERGY (GAS),2018,Feb,3,08:00
