sector,num,unit,year,month,day,hour
ALAOJI NIPP (GAS),105.4,1.0,2022,May,24,14:00
AZURA-EDO IPP (GAS),408.0,3.0,2022,May,24,14:00
DELTA (GAS),366.0,8.0,2022,May,24,14:00
EGBIN (STEAM),545.0,3.0,2022,May,24,14:00
GEREGU (GAS),134.0,1.0,2022,May,24,14:00
GEREGU NIPP (GAS),130.0,1.0,2022,May,24,14:00
IBOM POWER (GAS),25.6,1.0,2022,May,24,14:00
JEBBA (HYDRO),174.0,2.0,2022,May,24,14:00
KAINJI (HYDRO),218.0,4.0,2022,May,24,14:00
ODUKPANI NIPP (GAS),206.3,2.0,2022,May,24,14:00
OLORUNSOGO (GAS),166.8,5.0,2022,May,24,14:00
OLORUNSOGO NIPP (GAS),110.9,1.0,2022,May,24,14:00
OMOKU (GAS),47.3,3.0,2022,May,24,14:00
OMOTOSHO (GAS),163.8,5.0,2022,May,24,14:00
OMOTOSHO NIPP (GAS),103.1,1.0,2022,May,24,14:00
PARAS ENERGY (GAS),48.4,7.0,2022,May,24,14:00
RIVERS IPP (GAS),153.0,1.0,2022,May,24,14:00
SAPELE NIPP (GAS),95.9,1.0,2022,May,24,14:00
SHIRORO (HYDRO),126.0,2.0,2022,May,24,14:00
