sector,num,unit,year,month,day,hour
ALAOJI NIPP (GAS),101.5,1.0,2022,May,27,19:00
AZURA-EDO IPP (GAS),445.0,3.0,2022,May,27,19:00
DELTA (GAS),368.0,8.0,2022,May,27,19:00
EGBIN (STEAM),290.0,2.0,2022,May,27,19:00
GEREGU (GAS),282.0,2.0,2022,May,27,19:00
GEREGU NIPP (GAS),115.0,1.0,2022,May,27,19:00
IBOM POWER (GAS),25.3,1.0,2022,May,27,19:00
IHOVBOR NIPP (GAS),104.4,1.0,2022,May,27,19:00
JEBBA (HYDRO),252.0,3.0,2022,May,27,19:00
ODUKPANI NIPP (GAS),218.8,2.0,2022,May,27,19:00
OLORUNSOGO (GAS),155.1,5.0,2022,May,27,19:00
OLORUNSOGO NIPP (GAS),84.5,1.0,2022,May,27,19:00
OMOKU (GAS),46.4,3.0,2022,May,27,19:00
OMOTOSHO NIPP (GAS),105.4,1.0,2022,May,27,19:00
PARAS ENERGY (GAS),43.7,7.0,2022,May,27,19:00
RIVERS IPP (GAS),165.0,1.0,2022,May,27,19:00
SAPELE (STEAM),54.0,1.0,2022,May,27,19:00
SHIRORO (HYDRO),120.0,2.0,2022,May,27,19:00
