sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),100.0,2.0,2021,Apr,8,07:00
ALAOJI NIPP (GAS),108.2,1.0,2021,Apr,8,07:00
DELTA (GAS),340.0,8.0,2021,Apr,8,07:00
EGBIN (STEAM),872.0,5.0,2021,Apr,8,07:00
GEREGU (GAS),409.0,3.0,2021,Apr,8,07:00
JEBBA (HYDRO),458.0,5.0,2021,Apr,8,07:00
KAINJI (HYDRO),330.0,4.0,2021,Apr,8,07:00
ODUKPANI NIPP (GAS),314.5,3.0,2021,Apr,8,07:00
OLORUNSOGO (GAS),96.6,3.0,2021,Apr,8,07:00
OMOKU (GAS),41.0,2.0,2021,Apr,8,07:00
OMOTOSHO (GAS),98.1,3.0,2021,Apr,8,07:00
PARAS ENERGY (GAS),52.4,8.0,2021,Apr,8,07:00
RIVERS IPP (GAS),80.0,1.0,2021,Apr,8,07:00
SAPELE (STEAM),53.0,1.0,2021,Apr,8,07:00
SHIRORO (HYDRO),275.0,2.0,2021,Apr,8,07:00
TRANS-AMADI (GAS),72.3,4.0,2021,Apr,8,07:00
