sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),50.0,1.0,2022,Mar,8,06:00
AFAM VI (GAS/STEAM),136.0,4.0,2022,Mar,8,06:00
ALAOJI NIPP (GAS),112.6,1.0,2022,Mar,8,06:00
AZURA-EDO IPP (GAS),446.0,3.0,2022,Mar,8,06:00
DELTA (GAS),324.0,8.0,2022,Mar,8,06:00
EGBIN (STEAM),705.0,4.0,2022,Mar,8,06:00
IBOM POWER (GAS),25.5,1.0,2022,Mar,8,06:00
IHOVBOR NIPP (GAS),107.3,1.0,2022,Mar,8,06:00
JEBBA (HYDRO),328.0,4.0,2022,Mar,8,06:00
KAINJI (HYDRO),395.0,4.0,2022,Mar,8,06:00
OLORUNSOGO (GAS),90.2,3.0,2022,Mar,8,06:00
OMOKU (GAS),39.5,2.0,2022,Mar,8,06:00
OMOTOSHO (GAS),92.0,3.0,2022,Mar,8,06:00
OMOTOSHO NIPP (GAS),100.4,1.0,2022,Mar,8,06:00
PARAS ENERGY (GAS),65.6,9.0,2022,Mar,8,06:00
RIVERS IPP (GAS),164.0,1.0,2022,Mar,8,06:00
SAPELE (STEAM),53.0,1.0,2022,Mar,8,06:00
SHIRORO (HYDRO),293.0,2.0,2022,Mar,8,06:00
TRANS-AMADI (GAS),93.2,4.0,2022,Mar,8,06:00
