unit,num,sector,year,month,day,hour
1,63.00,AFAM IV &amp; V (GAS),2018,Jan,2,08:00
4,574.00,EGBIN (STEAM),2018,Jan,2,08:00
3,210.00,GEREGU (GAS),2018,Jan,2,08:00
1,101.00,GEREGU NIPP (GAS),2018,Jan,2,08:00
1,93.00,IHOVBOR NIPP (GAS),2018,Jan,2,08:00
1,114.00,OLORUNSOGO NIPP (GAS),2018,Jan,2,08:00
4,139.90,OMOTOSHO (GAS),2018,Jan,2,08:00
1,97.80,OMOTOSHO NIPP (GAS),2018,Jan,2,08:00
9,68.60,PARAS ENERGY (GAS),2018,Jan,2,08:00
