sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),51.0,1.0,2019,Jul,3,06:00
AFAM VI (GAS/STEAM),145.0,4.0,2019,Jul,3,06:00
AZURA-EDO IPP (GAS),293.0,3.0,2019,Jul,3,06:00
DELTA (GAS),375.0,8.0,2019,Jul,3,06:00
EGBIN (STEAM),453.0,3.0,2019,Jul,3,06:00
GEREGU NIPP (GAS),138.0,1.0,2019,Jul,3,06:00
IBOM POWER (GAS),92.6,1.0,2019,Jul,3,06:00
IHOVBOR NIPP (GAS),101.8,1.0,2019,Jul,3,06:00
JEBBA (HYDRO),348.0,4.0,2019,Jul,3,06:00
KAINJI (HYDRO),313.0,4.0,2019,Jul,3,06:00
ODUKPANI NIPP (GAS),210.6,2.0,2019,Jul,3,06:00
OLORUNSOGO (GAS),167.9,5.0,2019,Jul,3,06:00
OMOTOSHO (GAS),138.0,4.0,2019,Jul,3,06:00
OMOTOSHO NIPP (GAS),111.1,1.0,2019,Jul,3,06:00
PARAS ENERGY (GAS),63.5,11.0,2019,Jul,3,06:00
RIVERS IPP (GAS),120.0,1.0,2019,Jul,3,06:00
SAPELE NIPP (GAS),94.1,1.0,2019,Jul,3,06:00
SHIRORO (HYDRO),172.0,4.0,2019,Jul,3,06:00
