sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),69.0,1.0,2018,Oct,24,21:00
AZURA-EDO IPP (GAS),268.0,2.0,2018,Oct,24,21:00
EGBIN (STEAM),559.0,4.0,2018,Oct,24,21:00
GEREGU (GAS),136.0,1.0,2018,Oct,24,21:00
GEREGU NIPP (GAS),0.0,3.0,2018,Oct,24,21:00
IBOM POWER (GAS),71.4,1.0,2018,Oct,24,21:00
IHOVBOR NIPP (GAS),108.4,1.0,2018,Oct,24,21:00
JEBBA (HYDRO),456.0,5.0,2018,Oct,24,21:00
KAINJI (HYDRO),386.0,4.0,2018,Oct,24,21:00
OMOTOSHO (GAS),136.0,4.0,2018,Oct,24,21:00
OMOTOSHO NIPP (GAS),210.9,2.0,2018,Oct,24,21:00
PARAS ENERGY (GAS),67.0,9.0,2018,Oct,24,21:00
RIVERS IPP (GAS),150.0,1.0,2018,Oct,24,21:00
SHIRORO (HYDRO),593.0,4.0,2018,Oct,24,21:00
