sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),46.0,1.0,2018,Oct,5,07:00
AFAM VI (GAS/STEAM),104.0,4.0,2018,Oct,5,07:00
AZURA-EDO IPP (GAS),150.0,2.0,2018,Oct,5,07:00
EGBIN (STEAM),451.0,4.0,2018,Oct,5,07:00
GEREGU (GAS),112.0,1.0,2018,Oct,5,07:00
IBOM POWER (GAS),93.2,1.0,2018,Oct,5,07:00
IHOVBOR NIPP (GAS),77.6,1.0,2018,Oct,5,07:00
KAINJI (HYDRO),328.0,4.0,2018,Oct,5,07:00
OLORUNSOGO (GAS),146.7,5.0,2018,Oct,5,07:00
OLORUNSOGO NIPP (GAS),98.5,1.0,2018,Oct,5,07:00
OMOTOSHO (GAS),121.0,4.0,2018,Oct,5,07:00
OMOTOSHO NIPP (GAS),84.3,1.0,2018,Oct,5,07:00
PARAS ENERGY (GAS),69.4,9.0,2018,Oct,5,07:00
SAPELE (STEAM),50.0,1.0,2018,Oct,5,07:00
SHIRORO (HYDRO),446.0,3.0,2018,Oct,5,07:00
