sector,num,unit,year,month,day,hour
AFAM VI (GAS/STEAM),241.0,4.0,2020,Aug,3,18:00
AZURA-EDO IPP (GAS),375.0,3.0,2020,Aug,3,18:00
DELTA (GAS),340.0,9.0,2020,Aug,3,18:00
EGBIN (STEAM),451.0,4.0,2020,Aug,3,18:00
GEREGU (GAS),160.0,2.0,2020,Aug,3,18:00
GEREGU NIPP (GAS),80.0,1.0,2020,Aug,3,18:00
JEBBA (HYDRO),318.0,4.0,2020,Aug,3,18:00
KAINJI (HYDRO),194.0,4.0,2020,Aug,3,18:00
ODUKPANI NIPP (GAS),172.8,2.0,2020,Aug,3,18:00
OLORUNSOGO (GAS),168.8,6.0,2020,Aug,3,18:00
OMOKU (GAS),79.9,5.0,2020,Aug,3,18:00
OMOTOSHO (GAS),152.2,5.0,2020,Aug,3,18:00
PARAS ENERGY (GAS),49.2,8.0,2020,Aug,3,18:00
RIVERS IPP (GAS),138.0,1.0,2020,Aug,3,18:00
SAPELE (STEAM),35.0,1.0,2020,Aug,3,18:00
SHIRORO (HYDRO),398.0,3.0,2020,Aug,3,18:00
TRANS-AMADI (GAS),35.8,4.0,2020,Aug,3,18:00
