sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),100.0,2.0,2020,Feb,24,23:00
AFAM VI (GAS/STEAM),281.0,4.0,2020,Feb,24,23:00
ALAOJI NIPP (GAS),110.1,1.0,2020,Feb,24,23:00
AZURA-EDO IPP (GAS),405.0,3.0,2020,Feb,24,23:00
DELTA (GAS),263.0,7.0,2020,Feb,24,23:00
GEREGU (GAS),264.0,2.0,2020,Feb,24,23:00
GEREGU NIPP (GAS),129.0,1.0,2020,Feb,24,23:00
KAINJI (HYDRO),365.0,4.0,2020,Feb,24,23:00
ODUKPANI NIPP (GAS),401.3,4.0,2020,Feb,24,23:00
OMOTOSHO (GAS),90.3,3.0,2020,Feb,24,23:00
OMOTOSHO NIPP (GAS),105.4,1.0,2020,Feb,24,23:00
RIVERS IPP (GAS),160.0,1.0,2020,Feb,24,23:00
SAPELE (STEAM),32.0,1.0,2020,Feb,24,23:00
TRANS-AMADI (GAS),86.2,4.0,2020,Feb,24,23:00
