sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),70.0,1.0,2022,Jan,15,19:45
AFAM VI (GAS/STEAM),373.0,4.0,2022,Jan,15,19:45
AZURA-EDO IPP (GAS),390.0,3.0,2022,Jan,15,19:45
GEREGU (GAS),409.0,3.0,2022,Jan,15,19:45
GEREGU NIPP (GAS),69.0,1.0,2022,Jan,15,19:45
JEBBA (HYDRO),432.0,5.0,2022,Jan,15,19:45
ODUKPANI NIPP (GAS),212.8,2.0,2022,Jan,15,19:45
OLORUNSOGO (GAS),72.5,1.0,2022,Jan,15,19:45
OMOKU (GAS),51.8,3.0,2022,Jan,15,19:45
OMOTOSHO (GAS),63.5,2.0,2022,Jan,15,19:45
PARAS ENERGY (GAS),50.19,1.0,2022,Jan,15,19:45
RIVERS IPP (GAS),162.0,1.0,2022,Jan,15,19:45
SHIRORO (HYDRO),450.0,3.0,2022,Jan,15,19:45
TRANS-AMADI (GAS),91.8,4.0,2022,Jan,15,19:45
