sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),50.0,1.0,2020,Aug,16,16:00
AFAM VI (GAS/STEAM),268.0,4.0,2020,Aug,16,16:00
ALAOJI NIPP (GAS),65.0,1.0,2020,Aug,16,16:00
AZURA-EDO IPP (GAS),284.0,3.0,2020,Aug,16,16:00
DELTA (GAS),239.0,8.0,2020,Aug,16,16:00
EGBIN (STEAM),486.0,4.0,2020,Aug,16,16:00
GEREGU (GAS),160.0,2.0,2020,Aug,16,16:00
GEREGU NIPP (GAS),126.0,1.0,2020,Aug,16,16:00
IBOM POWER (GAS),62.3,1.0,2020,Aug,16,16:00
JEBBA (HYDRO),323.0,4.0,2020,Aug,16,16:00
KAINJI (HYDRO),270.0,4.0,2020,Aug,16,16:00
ODUKPANI NIPP (GAS),192.8,2.0,2020,Aug,16,16:00
OLORUNSOGO (GAS),153.4,6.0,2020,Aug,16,16:00
OMOKU (GAS),70.1,4.0,2020,Aug,16,16:00
OMOTOSHO (GAS),137.4,5.0,2020,Aug,16,16:00
PARAS ENERGY (GAS),53.2,8.0,2020,Aug,16,16:00
RIVERS IPP (GAS),40.0,1.0,2020,Aug,16,16:00
SAPELE (STEAM),46.9,2.0,2020,Aug,16,16:00
SHIRORO (HYDRO),360.0,4.0,2020,Aug,16,16:00
