sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),47.0,1.0,2018,Oct,16,07:00
EGBIN (STEAM),434.0,4.0,2018,Oct,16,07:00
GEREGU (GAS),85.0,1.0,2018,Oct,16,07:00
GEREGU NIPP (GAS),0.0,3.0,2018,Oct,16,07:00
IHOVBOR NIPP (GAS),77.5,1.0,2018,Oct,16,07:00
KAINJI (HYDRO),249.0,3.0,2018,Oct,16,07:00
OLORUNSOGO (GAS),141.6,4.0,2018,Oct,16,07:00
OMOTOSHO (GAS),130.2,4.0,2018,Oct,16,07:00
OMOTOSHO NIPP (GAS),76.6,1.0,2018,Oct,16,07:00
PARAS ENERGY (GAS),67.8,9.0,2018,Oct,16,07:00
SHIRORO (HYDRO),511.0,4.0,2018,Oct,16,07:00
