sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),45.0,1.0,2020,Apr,13,12:00
AFAM VI (GAS/STEAM),269.0,4.0,2020,Apr,13,12:00
ALAOJI NIPP (GAS),218.9,2.0,2020,Apr,13,12:00
AZURA-EDO IPP (GAS),418.0,3.0,2020,Apr,13,12:00
DELTA (GAS),403.0,9.0,2020,Apr,13,12:00
EGBIN (STEAM),615.0,4.0,2020,Apr,13,12:00
GEREGU (GAS),137.0,1.0,2020,Apr,13,12:00
GEREGU NIPP (GAS),80.0,1.0,2020,Apr,13,12:00
JEBBA (HYDRO),257.0,3.0,2020,Apr,13,12:00
KAINJI (HYDRO),384.0,4.0,2020,Apr,13,12:00
ODUKPANI NIPP (GAS),414.2,4.0,2020,Apr,13,12:00
OLORUNSOGO (GAS),121.7,4.0,2020,Apr,13,12:00
OMOKU (GAS),78.8,5.0,2020,Apr,13,12:00
OMOTOSHO (GAS),94.7,3.0,2020,Apr,13,12:00
OMOTOSHO NIPP (GAS),105.6,1.0,2020,Apr,13,12:00
PARAS ENERGY (GAS),59.6,8.0,2020,Apr,13,12:00
RIVERS IPP (GAS),90.0,1.0,2020,Apr,13,12:00
SAPELE (STEAM),61.6,2.0,2020,Apr,13,12:00
TRANS-AMADI (GAS),78.8,4.0,2020,Apr,13,12:00
