sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),120.0,2.0,2021,May,8,18:00
ALAOJI NIPP (GAS),168.9,2.0,2021,May,8,18:00
AZURA-EDO IPP (GAS),394.0,3.0,2021,May,8,18:00
DELTA (GAS),346.0,8.0,2021,May,8,18:00
EGBIN (STEAM),733.0,5.0,2021,May,8,18:00
GEREGU (GAS),342.0,3.0,2021,May,8,18:00
JEBBA (HYDRO),269.0,3.0,2021,May,8,18:00
KAINJI (HYDRO),211.0,3.0,2021,May,8,18:00
ODUKPANI NIPP (GAS),392.7,4.0,2021,May,8,18:00
OMOKU (GAS),37.9,2.0,2021,May,8,18:00
OMOTOSHO (GAS),66.1,2.0,2021,May,8,18:00
PARAS ENERGY (GAS),53.2,8.0,2021,May,8,18:00
SAPELE (STEAM),50.0,1.0,2021,May,8,18:00
TRANS-AMADI (GAS),39.3,3.0,2021,May,8,18:00
