sector,num,unit,year,month,day,hour
ALAOJI NIPP (GAS),112.1,1.0,2022,Jun,11,19:00
AZURA-EDO IPP (GAS),432.0,3.0,2022,Jun,11,19:00
DELTA (GAS),368.0,8.0,2022,Jun,11,19:00
GEREGU (GAS),281.0,2.0,2022,Jun,11,19:00
GEREGU NIPP (GAS),136.0,1.0,2022,Jun,11,19:00
IBOM POWER (GAS),74.0,1.0,2022,Jun,11,19:00
JEBBA (HYDRO),88.0,1.0,2022,Jun,11,19:00
KAINJI (HYDRO),51.0,1.0,2022,Jun,11,19:00
OLORUNSOGO (GAS),133.4,4.0,2022,Jun,11,19:00
OLORUNSOGO NIPP (GAS),112.4,1.0,2022,Jun,11,19:00
OMOKU (GAS),46.7,3.0,2022,Jun,11,19:00
OMOTOSHO (GAS),126.6,4.0,2022,Jun,11,19:00
PARAS ENERGY (GAS),44.8,7.0,2022,Jun,11,19:00
RIVERS IPP (GAS),154.0,1.0,2022,Jun,11,19:00
SAPELE (STEAM),52.0,1.0,2022,Jun,11,19:00
SAPELE NIPP (GAS),107.4,1.0,2022,Jun,11,19:00
