sector,num,unit,year,month,day,hour
AZURA-EDO IPP (GAS),451.0,3.0,2021,Jul,14,21:30
EGBIN (STEAM),707.0,4.0,2021,Jul,14,21:30
GEREGU (GAS),424.0,3.0,2021,Jul,14,21:30
GEREGU NIPP (GAS),119.0,1.0,2021,Jul,14,21:30
JEBBA (HYDRO),330.0,4.0,2021,Jul,14,21:30
ODUKPANI NIPP (GAS),192.7,2.0,2021,Jul,14,21:30
OLORUNSOGO (GAS),119.9,1.0,2021,Jul,14,21:30
OMOKU (GAS),40.3,2.0,2021,Jul,14,21:30
OMOTOSHO (GAS),111.3,3.0,2021,Jul,14,21:30
PARAS ENERGY (GAS),54.5,1.0,2021,Jul,14,21:30
RIVERS IPP (GAS),125.0,1.0,2021,Jul,14,21:30
SAPELE (STEAM),54.0,1.0,2021,Jul,14,21:30
SAPELE NIPP (GAS),108.4,1.0,2021,Jul,14,21:30
SHIRORO (HYDRO),373.0,3.0,2021,Jul,14,21:30
TRANS-AMADI (GAS),32.1,4.0,2021,Jul,14,21:30
