sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),50.0,1.0,2020,Jun,1,21:00
ALAOJI NIPP (GAS),112.0,1.0,2020,Jun,1,21:00
AZURA-EDO IPP (GAS),415.0,3.0,2020,Jun,1,21:00
DELTA (GAS),376.0,9.0,2020,Jun,1,21:00
EGBIN (STEAM),697.0,4.0,2020,Jun,1,21:00
GEREGU (GAS),272.0,2.0,2020,Jun,1,21:00
GEREGU NIPP (GAS),132.0,1.0,2020,Jun,1,21:00
IBOM POWER (GAS),88.0,1.0,2020,Jun,1,21:00
JEBBA (HYDRO),341.0,4.0,2020,Jun,1,21:00
KAINJI (HYDRO),230.0,3.0,2020,Jun,1,21:00
ODUKPANI NIPP (GAS),416.6,4.0,2020,Jun,1,21:00
OLORUNSOGO (GAS),132.4,4.0,2020,Jun,1,21:00
OMOKU (GAS),98.3,5.0,2020,Jun,1,21:00
OMOTOSHO (GAS),135.9,4.0,2020,Jun,1,21:00
OMOTOSHO NIPP (GAS),107.8,1.0,2020,Jun,1,21:00
RIVERS IPP (GAS),157.0,1.0,2020,Jun,1,21:00
SAPELE (STEAM),64.0,2.0,2020,Jun,1,21:00
TRANS-AMADI (GAS),69.4,3.0,2020,Jun,1,21:00
