sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),120.0,2.0,2021,May,5,23:00
ALAOJI NIPP (GAS),217.8,2.0,2021,May,5,23:00
AZURA-EDO IPP (GAS),405.0,3.0,2021,May,5,23:00
DELTA (GAS),356.0,8.0,2021,May,5,23:00
EGBIN (STEAM),908.0,5.0,2021,May,5,23:00
GEREGU (GAS),403.0,3.0,2021,May,5,23:00
JEBBA (HYDRO),435.0,5.0,2021,May,5,23:00
KAINJI (HYDRO),224.0,3.0,2021,May,5,23:00
ODUKPANI NIPP (GAS),414.8,4.0,2021,May,5,23:00
OLORUNSOGO (GAS),154.1,5.0,2021,May,5,23:00
OMOKU (GAS),38.4,2.0,2021,May,5,23:00
OMOTOSHO (GAS),129.7,4.0,2021,May,5,23:00
PARAS ENERGY (GAS),52.4,8.0,2021,May,5,23:00
SAPELE (STEAM),52.0,1.0,2021,May,5,23:00
TRANS-AMADI (GAS),39.3,3.0,2021,May,5,23:00
