sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),100.0,2.0,2020,Dec,22,17:00
AFAM VI (GAS/STEAM),393.0,4.0,2020,Dec,22,17:00
AZURA-EDO IPP (GAS),406.0,3.0,2020,Dec,22,17:00
DELTA (GAS),41.0,1.0,2020,Dec,22,17:00
EGBIN (STEAM),592.0,3.0,2020,Dec,22,17:00
GEREGU (GAS),265.0,2.0,2020,Dec,22,17:00
GEREGU NIPP (GAS),110.0,1.0,2020,Dec,22,17:00
JEBBA (HYDRO),283.0,3.0,2020,Dec,22,17:00
KAINJI (HYDRO),296.0,3.0,2020,Dec,22,17:00
ODUKPANI NIPP (GAS),407.3,4.0,2020,Dec,22,17:00
OLORUNSOGO (GAS),62.1,2.0,2020,Dec,22,17:00
OMOKU (GAS),41.6,4.0,2020,Dec,22,17:00
OMOTOSHO (GAS),62.9,2.0,2020,Dec,22,17:00
OMOTOSHO NIPP (GAS),103.7,1.0,2020,Dec,22,17:00
PARAS ENERGY (GAS),54.8,8.0,2020,Dec,22,17:00
RIVERS IPP (GAS),90.0,1.0,2020,Dec,22,17:00
SAPELE (STEAM),60.0,1.0,2020,Dec,22,17:00
SAPELE NIPP (GAS),87.3,1.0,2020,Dec,22,17:00
SHIRORO (HYDRO),354.0,3.0,2020,Dec,22,17:00
TRANS-AMADI (GAS),74.4,4.0,2020,Dec,22,17:00
