sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),70.0,1.0,2021,Dec,4,18:00
AFAM VI (GAS/STEAM),282.0,4.0,2021,Dec,4,18:00
ALAOJI NIPP (GAS),82.4,1.0,2021,Dec,4,18:00
AZURA-EDO IPP (GAS),393.0,3.0,2021,Dec,4,18:00
DELTA (GAS),204.0,7.0,2021,Dec,4,18:00
EGBIN (STEAM),527.0,3.0,2021,Dec,4,18:00
GEREGU (GAS),362.0,3.0,2021,Dec,4,18:00
GEREGU NIPP (GAS),122.0,1.0,2021,Dec,4,18:00
IHOVBOR NIPP (GAS),105.7,1.0,2021,Dec,4,18:00
JEBBA (HYDRO),459.0,5.0,2021,Dec,4,18:00
KAINJI (HYDRO),445.0,5.0,2021,Dec,4,18:00
ODUKPANI NIPP (GAS),198.4,2.0,2021,Dec,4,18:00
OLORUNSOGO (GAS),152.3,5.0,2021,Dec,4,18:00
OMOKU (GAS),53.5,3.0,2021,Dec,4,18:00
OMOTOSHO (GAS),115.5,4.0,2021,Dec,4,18:00
OMOTOSHO NIPP (GAS),108.2,1.0,2021,Dec,4,18:00
PARAS ENERGY (GAS),36.1,6.0,2021,Dec,4,18:00
SHIRORO (HYDRO),342.0,3.0,2021,Dec,4,18:00
TRANS-AMADI (GAS),91.4,4.0,2021,Dec,4,18:00
