sector,num,unit,year,month,day,hour
AFAM VI (GAS/STEAM),269.0,4.0,2020,Jul,19,21:00
ALAOJI NIPP (GAS),114.3,1.0,2020,Jul,19,21:00
AZURA-EDO IPP (GAS),375.0,3.0,2020,Jul,19,21:00
GEREGU (GAS),253.0,2.0,2020,Jul,19,21:00
GEREGU NIPP (GAS),122.0,1.0,2020,Jul,19,21:00
IBOM POWER (GAS),88.2,1.0,2020,Jul,19,21:00
IHOVBOR NIPP (GAS),69.3,1.0,2020,Jul,19,21:00
JEBBA (HYDRO),356.0,4.0,2020,Jul,19,21:00
KAINJI (HYDRO),238.0,4.0,2020,Jul,19,21:00
ODUKPANI NIPP (GAS),187.1,2.0,2020,Jul,19,21:00
OLORUNSOGO (GAS),188.2,6.0,2020,Jul,19,21:00
OMOKU (GAS),125.5,6.0,2020,Jul,19,21:00
OMOTOSHO (GAS),153.1,5.0,2020,Jul,19,21:00
OMOTOSHO NIPP (GAS),98.8,1.0,2020,Jul,19,21:00
PARAS ENERGY (GAS),50.8,8.0,2020,Jul,19,21:00
RIVERS IPP (GAS),139.0,1.0,2020,Jul,19,21:00
SAPELE (STEAM),59.8,2.0,2020,Jul,19,21:00
SAPELE NIPP (GAS),81.8,1.0,2020,Jul,19,21:00
