sector,num,unit,year,month,day,hour
AZURA-EDO IPP (GAS),328.0,3.0,2018,Dec,7,16:00
GEREGU NIPP (GAS),121.0,1.0,2018,Dec,7,16:00
IBOM POWER (GAS),75.6,1.0,2018,Dec,7,16:00
IHOVBOR NIPP (GAS),104.5,1.0,2018,Dec,7,16:00
JEBBA (HYDRO),373.0,5.0,2018,Dec,7,16:00
KAINJI (HYDRO),408.0,4.0,2018,Dec,7,16:00
OMOKU (GAS),77.6,4.0,2018,Dec,7,16:00
OMOTOSHO (GAS),128.0,4.0,2018,Dec,7,16:00
OMOTOSHO NIPP (GAS),100.2,1.0,2018,Dec,7,16:00
PARAS ENERGY (GAS),68.6,9.0,2018,Dec,7,16:00
SAPELE (STEAM),50.0,1.0,2018,Dec,7,16:00
SHIRORO (HYDRO),165.0,4.0,2018,Dec,7,16:00
TRANS-AMADI (GAS),38.8,2.0,2018,Dec,7,16:00
