sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),120.0,2.0,2021,Jun,29,21:15
AZURA-EDO IPP (GAS),459.0,3.0,2021,Jun,29,21:15
EGBIN (STEAM),678.0,4.0,2021,Jun,29,21:15
GEREGU (GAS),382.0,3.0,2021,Jun,29,21:15
ODUKPANI NIPP (GAS),224.2,2.0,2021,Jun,29,21:15
OLORUNSOGO (GAS),30.1,1.0,2021,Jun,29,21:15
OMOTOSHO (GAS),69.3,2.0,2021,Jun,29,21:15
PARAS ENERGY (GAS),56.0,1.0,2021,Jun,29,21:15
SAPELE (STEAM),52.0,1.0,2021,Jun,29,21:15
SHIRORO (HYDRO),259.0,2.0,2021,Jun,29,21:15
TRANS-AMADI (GAS),81.0,4.0,2021,Jun,29,21:15
