sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),120.0,2.0,2021,May,12,05:00
ALAOJI NIPP (GAS),112.3,1.0,2021,May,12,05:00
AZURA-EDO IPP (GAS),420.0,3.0,2021,May,12,05:00
DELTA (GAS),347.0,8.0,2021,May,12,05:00
EGBIN (STEAM),776.0,5.0,2021,May,12,05:00
GEREGU (GAS),408.0,3.0,2021,May,12,05:00
JEBBA (HYDRO),179.0,2.0,2021,May,12,05:00
KAINJI (HYDRO),266.0,4.0,2021,May,12,05:00
ODUKPANI NIPP (GAS),420.0,4.0,2021,May,12,05:00
OLORUNSOGO (GAS),99.2,3.0,2021,May,12,05:00
OMOKU (GAS),38.8,2.0,2021,May,12,05:00
OMOTOSHO (GAS),97.7,3.0,2021,May,12,05:00
PARAS ENERGY (GAS),53.2,8.0,2021,May,12,05:00
SAPELE (STEAM),48.0,1.0,2021,May,12,05:00
TRANS-AMADI (GAS),45.6,3.0,2021,May,12,05:00
