sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),53.0,1.0,2022,Mar,12,20:15
AFAM VI (GAS/STEAM),134.0,4.0,2022,Mar,12,20:15
ALAOJI NIPP (GAS),72.2,1.0,2022,Mar,12,20:15
AZURA-EDO IPP (GAS),435.0,3.0,2022,Mar,12,20:15
GEREGU (GAS),100.0,1.0,2022,Mar,12,20:15
IHOVBOR NIPP (GAS),103.2,1.0,2022,Mar,12,20:15
JEBBA (HYDRO),332.0,4.0,2022,Mar,12,20:15
OLORUNSOGO (GAS),75.4,1.0,2022,Mar,12,20:15
OMOKU (GAS),33.8,2.0,2022,Mar,12,20:15
OMOTOSHO (GAS),66.4,2.0,2022,Mar,12,20:15
OMOTOSHO NIPP (GAS),107.2,1.0,2022,Mar,12,20:15
PARAS ENERGY (GAS),74.3,1.0,2022,Mar,12,20:15
RIVERS IPP (GAS),130.0,1.0,2022,Mar,12,20:15
SAPELE NIPP (GAS),102.9,1.0,2022,Mar,12,20:15
SHIRORO (HYDRO),290.0,2.0,2022,Mar,12,20:15
TRANS-AMADI (GAS),91.7,4.0,2022,Mar,12,20:15
