sector,num,unit,year,month,day,hour
AZURA-EDO IPP (GAS),398.0,3.0,2020,Sep,14,17:00
DELTA (GAS),350.0,9.0,2020,Sep,14,17:00
EGBIN (STEAM),451.0,4.0,2020,Sep,14,17:00
GEREGU (GAS),270.0,3.0,2020,Sep,14,17:00
GEREGU NIPP (GAS),80.0,1.0,2020,Sep,14,17:00
IBOM POWER (GAS),53.8,1.0,2020,Sep,14,17:00
JEBBA (HYDRO),293.0,4.0,2020,Sep,14,17:00
KAINJI (HYDRO),219.0,3.0,2020,Sep,14,17:00
OLORUNSOGO (GAS),151.7,5.0,2020,Sep,14,17:00
OMOTOSHO (GAS),153.3,5.0,2020,Sep,14,17:00
OMOTOSHO NIPP (GAS),80.3,1.0,2020,Sep,14,17:00
PARAS ENERGY (GAS),50.8,8.0,2020,Sep,14,17:00
SAPELE NIPP (GAS),172.3,2.0,2020,Sep,14,17:00
SHIRORO (HYDRO),404.0,3.0,2020,Sep,14,17:00
TRANS-AMADI (GAS),59.2,4.0,2020,Sep,14,17:00
