sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),70.0,1.0,2021,Dec,30,20:00
AFAM VI (GAS/STEAM),262.0,4.0,2021,Dec,30,20:00
ALAOJI NIPP (GAS),110.8,1.0,2021,Dec,30,20:00
AZURA-EDO IPP (GAS),434.0,3.0,2021,Dec,30,20:00
EGBIN (STEAM),553.0,4.0,2021,Dec,30,20:00
GEREGU (GAS),356.0,3.0,2021,Dec,30,20:00
GEREGU NIPP (GAS),132.0,1.0,2021,Dec,30,20:00
JEBBA (HYDRO),450.0,5.0,2021,Dec,30,20:00
KAINJI (HYDRO),406.0,4.0,2021,Dec,30,20:00
ODUKPANI NIPP (GAS),427.7,4.0,2021,Dec,30,20:00
OLORUNSOGO (GAS),109.9,4.0,2021,Dec,30,20:00
OMOKU (GAS),53.7,3.0,2021,Dec,30,20:00
OMOTOSHO (GAS),88.8,3.0,2021,Dec,30,20:00
PARAS ENERGY (GAS),36.1,6.0,2021,Dec,30,20:00
RIVERS IPP (GAS),160.0,1.0,2021,Dec,30,20:00
SAPELE (STEAM),53.0,1.0,2021,Dec,30,20:00
SHIRORO (HYDRO),493.0,4.0,2021,Dec,30,20:00
TRANS-AMADI (GAS),66.8,4.0,2021,Dec,30,20:00
