sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),50.0,1.0,2021,Feb,13,12:00
AFAM VI (GAS/STEAM),244.0,4.0,2021,Feb,13,12:00
DELTA (GAS),216.0,6.0,2021,Feb,13,12:00
EGBIN (STEAM),948.0,5.0,2021,Feb,13,12:00
GEREGU (GAS),395.0,3.0,2021,Feb,13,12:00
GEREGU NIPP (GAS),127.0,1.0,2021,Feb,13,12:00
JEBBA (HYDRO),423.0,5.0,2021,Feb,13,12:00
KAINJI (HYDRO),342.0,4.0,2021,Feb,13,12:00
ODUKPANI NIPP (GAS),295.6,3.0,2021,Feb,13,12:00
OLORUNSOGO (GAS),93.8,3.0,2021,Feb,13,12:00
OMOKU (GAS),39.3,3.0,2021,Feb,13,12:00
OMOTOSHO (GAS),94.4,3.0,2021,Feb,13,12:00
OMOTOSHO NIPP (GAS),102.1,1.0,2021,Feb,13,12:00
PARAS ENERGY (GAS),53.2,8.0,2021,Feb,13,12:00
RIVERS IPP (GAS),151.0,1.0,2021,Feb,13,12:00
SAPELE (STEAM),52.0,1.0,2021,Feb,13,12:00
SHIRORO (HYDRO),294.0,2.0,2021,Feb,13,12:00
TRANS-AMADI (GAS),80.3,4.0,2021,Feb,13,12:00
