sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),30.0,1.0,2019,Aug,7,03:00
AFAM VI (GAS/STEAM),143.0,4.0,2019,Aug,7,03:00
AZURA-EDO IPP (GAS),135.0,1.0,2019,Aug,7,03:00
DELTA (GAS),330.0,9.0,2019,Aug,7,03:00
EGBIN (STEAM),456.0,4.0,2019,Aug,7,03:00
GEREGU (GAS),160.0,2.0,2019,Aug,7,03:00
GEREGU NIPP (GAS),90.0,1.0,2019,Aug,7,03:00
IBOM POWER (GAS),80.2,1.0,2019,Aug,7,03:00
IHOVBOR NIPP (GAS),80.4,1.0,2019,Aug,7,03:00
JEBBA (HYDRO),153.0,2.0,2019,Aug,7,03:00
KAINJI (HYDRO),277.0,4.0,2019,Aug,7,03:00
ODUKPANI NIPP (GAS),181.0,2.0,2019,Aug,7,03:00
OLORUNSOGO (GAS),120.8,4.0,2019,Aug,7,03:00
OMOTOSHO (GAS),94.6,3.0,2019,Aug,7,03:00
OMOTOSHO NIPP (GAS),106.4,1.0,2019,Aug,7,03:00
PARAS ENERGY (GAS),60.9,8.0,2019,Aug,7,03:00
SAPELE (STEAM),32.0,1.0,2019,Aug,7,03:00
SAPELE NIPP (GAS),65.6,1.0,2019,Aug,7,03:00
