sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),50.0,1.0,2019,Jul,10,12:00
AFAM VI (GAS/STEAM),146.0,4.0,2019,Jul,10,12:00
AZURA-EDO IPP (GAS),287.0,3.0,2019,Jul,10,12:00
DELTA (GAS),246.0,7.0,2019,Jul,10,12:00
EGBIN (STEAM),598.0,4.0,2019,Jul,10,12:00
GEREGU (GAS),273.0,2.0,2019,Jul,10,12:00
GEREGU NIPP (GAS),131.0,1.0,2019,Jul,10,12:00
IBOM POWER (GAS),93.8,1.0,2019,Jul,10,12:00
JEBBA (HYDRO),251.0,3.0,2019,Jul,10,12:00
KAINJI (HYDRO),166.0,3.0,2019,Jul,10,12:00
ODUKPANI NIPP (GAS),190.8,2.0,2019,Jul,10,12:00
OLORUNSOGO (GAS),163.7,5.0,2019,Jul,10,12:00
OMOKU (GAS),61.1,3.0,2019,Jul,10,12:00
OMOTOSHO (GAS),135.4,4.0,2019,Jul,10,12:00
OMOTOSHO NIPP (GAS),107.3,1.0,2019,Jul,10,12:00
PARAS ENERGY (GAS),66.7,8.0,2019,Jul,10,12:00
RIVERS IPP (GAS),133.0,1.0,2019,Jul,10,12:00
SAPELE (STEAM),40.0,1.0,2019,Jul,10,12:00
SHIRORO (HYDRO),195.0,4.0,2019,Jul,10,12:00
TRANS-AMADI (GAS),63.1,3.0,2019,Jul,10,12:00
