sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),52.0,1.0,2022,Jun,28,23:00
AFAM VI (GAS/STEAM),0.0,4.0,2022,Jun,28,23:00
AZURA-EDO IPP (GAS),427.0,3.0,2022,Jun,28,23:00
DADINKOWA G.S (HYDRO),15.0,2.0,2022,Jun,28,23:00
DELTA (GAS),364.0,8.0,2022,Jun,28,23:00
EGBIN (STEAM),224.0,2.0,2022,Jun,28,23:00
GEREGU (GAS),100.0,1.0,2022,Jun,28,23:00
GEREGU NIPP (GAS),130.0,1.0,2022,Jun,28,23:00
IBOM POWER (GAS),78.0,1.0,2022,Jun,28,23:00
IHOVBOR NIPP (GAS),0.0,2.0,2022,Jun,28,23:00
JEBBA (HYDRO),174.0,2.0,2022,Jun,28,23:00
KAINJI (HYDRO),97.0,2.0,2022,Jun,28,23:00
OMOKU (GAS),52.6,3.0,2022,Jun,28,23:00
OMOTOSHO (GAS),121.3,4.0,2022,Jun,28,23:00
OMOTOSHO NIPP (GAS),110.8,1.0,2022,Jun,28,23:00
PARAS ENERGY (GAS),10.1,2.0,2022,Jun,28,23:00
SAPELE (STEAM),53.0,1.0,2022,Jun,28,23:00
SHIRORO (HYDRO),259.0,2.0,2022,Jun,28,23:00
