sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),46.0,1.0,2022,Feb,28,12:00
AFAM VI (GAS/STEAM),135.0,4.0,2022,Feb,28,12:00
ALAOJI NIPP (GAS),91.9,1.0,2022,Feb,28,12:00
AZURA-EDO IPP (GAS),434.0,3.0,2022,Feb,28,12:00
DELTA (GAS),460.0,8.0,2022,Feb,28,12:00
EGBIN (STEAM),696.0,4.0,2022,Feb,28,12:00
IBOM POWER (GAS),50.2,2.0,2022,Feb,28,12:00
IHOVBOR NIPP (GAS),90.7,1.0,2022,Feb,28,12:00
JEBBA (HYDRO),331.0,4.0,2022,Feb,28,12:00
KAINJI (HYDRO),410.0,4.0,2022,Feb,28,12:00
ODUKPANI NIPP (GAS),200.3,2.0,2022,Feb,28,12:00
OLORUNSOGO (GAS),75.7,3.0,2022,Feb,28,12:00
OMOKU (GAS),42.6,3.0,2022,Feb,28,12:00
OMOTOSHO (GAS),64.6,2.0,2022,Feb,28,12:00
OMOTOSHO NIPP (GAS),105.1,1.0,2022,Feb,28,12:00
PARAS ENERGY (GAS),83.2,10.0,2022,Feb,28,12:00
RIVERS IPP (GAS),158.0,1.0,2022,Feb,28,12:00
SAPELE NIPP (GAS),100.3,1.0,2022,Feb,28,12:00
SHIRORO (HYDRO),300.0,2.0,2022,Feb,28,12:00
TRANS-AMADI (GAS),89.2,4.0,2022,Feb,28,12:00
