sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),46.0,1.0,2019,Nov,3,02:00
AFAM VI (GAS/STEAM),113.0,4.0,2019,Nov,3,02:00
AZURA-EDO IPP (GAS),75.0,1.0,2019,Nov,3,02:00
DELTA (GAS),233.0,8.0,2019,Nov,3,02:00
EGBIN (STEAM),401.0,3.0,2019,Nov,3,02:00
GEREGU (GAS),80.0,1.0,2019,Nov,3,02:00
GEREGU NIPP (GAS),80.0,1.0,2019,Nov,3,02:00
IHOVBOR NIPP (GAS),83.3,1.0,2019,Nov,3,02:00
JEBBA (HYDRO),431.0,5.0,2019,Nov,3,02:00
KAINJI (HYDRO),267.0,4.0,2019,Nov,3,02:00
ODUKPANI NIPP (GAS),177.5,2.0,2019,Nov,3,02:00
OLORUNSOGO (GAS),131.4,4.0,2019,Nov,3,02:00
OMOKU (GAS),71.9,4.0,2019,Nov,3,02:00
OMOTOSHO (GAS),102.8,4.0,2019,Nov,3,02:00
OMOTOSHO NIPP (GAS),74.5,1.0,2019,Nov,3,02:00
PARAS ENERGY (GAS),58.9,7.0,2019,Nov,3,02:00
RIVERS IPP (GAS),80.0,1.0,2019,Nov,3,02:00
SAPELE (STEAM),33.0,1.0,2019,Nov,3,02:00
SHIRORO (HYDRO),396.0,4.0,2019,Nov,3,02:00
