"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Denmark (DK)","01.01.2016 00:00 - 01.01.2016 01:00 (UTC)","49","n/e","n/e","487","839","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","162","503","863"
"Denmark (DK)","01.01.2016 01:00 - 01.01.2016 02:00 (UTC)","49","n/e","n/e","504","812","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","166","499","733"
"Denmark (DK)","01.01.2016 02:00 - 01.01.2016 03:00 (UTC)","49","n/e","n/e","495","785","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","165","498","722"
"Denmark (DK)","01.01.2016 03:00 - 01.01.2016 04:00 (UTC)","70","n/e","n/e","498","829","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","167","400","718"
"Denmark (DK)","01.01.2016 04:00 - 01.01.2016 05:00 (UTC)","70","n/e","n/e","496","860","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","169","288","761"
"Denmark (DK)","01.01.2016 05:00 - 01.01.2016 06:00 (UTC)","70","n/e","n/e","507","885","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","177","212","728"
"Denmark (DK)","01.01.2016 06:00 - 01.01.2016 07:00 (UTC)","70","n/e","n/e","505","849","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","192","268","547"
"Denmark (DK)","01.01.2016 07:00 - 01.01.2016 08:00 (UTC)","71","n/e","n/e","512","869","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","194","188","434"
"Denmark (DK)","01.01.2016 08:00 - 01.01.2016 09:00 (UTC)","71","n/e","n/e","549","780","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7","195","214","321"
"Denmark (DK)","01.01.2016 09:00 - 01.01.2016 10:00 (UTC)","66","n/e","n/e","535","685","19","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","33","189","139","233"
