date,mw,region
2021-05-20 0:00,10892,ОЭС СЕВ.ЗАПАДА
2021-05-20 1:00,10922,ОЭС СЕВ.ЗАПАДА
2021-05-20 2:00,10871,ОЭС СЕВ.ЗАПАДА
2021-05-20 3:00,10728,ОЭС СЕВ.ЗАПАДА
2021-05-20 4:00,10718,ОЭС СЕВ.ЗАПАДА
2021-05-20 5:00,10691,ОЭС СЕВ.ЗАПАДА
2021-05-20 6:00,11047,ОЭС СЕВ.ЗАПАДА
2021-05-20 7:00,11480,ОЭС СЕВ.ЗАПАДА
2021-05-20 8:00,11469,ОЭС СЕВ.ЗАПАДА
2021-05-20 9:00,11756,ОЭС СЕВ.ЗАПАДА
2021-05-20 10:00,11767,ОЭС СЕВ.ЗАПАДА
2021-05-20 11:00,11727,ОЭС СЕВ.ЗАПАДА
2021-05-20 12:00,11736,ОЭС СЕВ.ЗАПАДА
2021-05-20 13:00,11729,ОЭС СЕВ.ЗАПАДА
2021-05-20 14:00,11727,ОЭС СЕВ.ЗАПАДА
2021-05-20 15:00,11688,ОЭС СЕВ.ЗАПАДА
2021-05-20 16:00,11883,ОЭС СЕВ.ЗАПАДА
2021-05-20 17:00,11814,ОЭС СЕВ.ЗАПАДА
2021-05-20 18:00,11112,ОЭС СЕВ.ЗАПАДА
2021-05-20 19:00,11051,ОЭС СЕВ.ЗАПАДА
2021-05-20 20:00,10902,ОЭС СЕВ.ЗАПАДА
2021-05-20 21:00,11038,ОЭС СЕВ.ЗАПАДА
2021-05-20 22:00,11108,ОЭС СЕВ.ЗАПАДА
2021-05-20 23:00,11215,ОЭС СЕВ.ЗАПАДА
