"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Kosovo (XK)","01.01.2022 00:00 - 01.01.2022 01:00 (UTC)","n/e","508","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","14"
"Kosovo (XK)","01.01.2022 01:00 - 01.01.2022 02:00 (UTC)","n/e","514","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","20"
"Kosovo (XK)","01.01.2022 02:00 - 01.01.2022 03:00 (UTC)","n/e","521","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","21"
"Kosovo (XK)","01.01.2022 03:00 - 01.01.2022 04:00 (UTC)","n/e","524","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11"
"Kosovo (XK)","01.01.2022 04:00 - 01.01.2022 05:00 (UTC)","n/e","517","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11"
"Kosovo (XK)","01.01.2022 05:00 - 01.01.2022 06:00 (UTC)","n/e","523","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","14"
"Kosovo (XK)","01.01.2022 06:00 - 01.01.2022 07:00 (UTC)","n/e","522","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","13"
"Kosovo (XK)","01.01.2022 07:00 - 01.01.2022 08:00 (UTC)","n/e","522","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5"
"Kosovo (XK)","01.01.2022 08:00 - 01.01.2022 09:00 (UTC)","n/e","513","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","17"
"Kosovo (XK)","01.01.2022 09:00 - 01.01.2022 10:00 (UTC)","n/e","516","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","18"
