"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Norway (NO)","01.01.2022 00:00 - 01.01.2022 01:00 (UTC)","0","n/e","n/e","85","n/e","n/e","n/e","n/e","n/e","106","","2251","9836","n/e","n/e","0","65","n/e","35","n/e","966"
"Norway (NO)","01.01.2022 01:00 - 01.01.2022 02:00 (UTC)","0","n/e","n/e","84","n/e","n/e","n/e","n/e","n/e","109","","2259","10141","n/e","n/e","0","62","n/e","34","n/e","815"
"Norway (NO)","01.01.2022 02:00 - 01.01.2022 03:00 (UTC)","0","n/e","n/e","85","n/e","n/e","n/e","n/e","n/e","111","","2258","9269","n/e","n/e","0","64","n/e","33","n/e","706"
"Norway (NO)","01.01.2022 03:00 - 01.01.2022 04:00 (UTC)","0","n/e","n/e","84","n/e","n/e","n/e","n/e","n/e","100","","2246","9031","n/e","n/e","0","59","n/e","32","n/e","660"
"Norway (NO)","01.01.2022 04:00 - 01.01.2022 05:00 (UTC)","0","n/e","n/e","85","n/e","n/e","n/e","n/e","n/e","104","","2233","9195","n/e","n/e","0","63","n/e","32","n/e","662"
"Norway (NO)","01.01.2022 05:00 - 01.01.2022 06:00 (UTC)","0","n/e","n/e","84","n/e","n/e","n/e","n/e","n/e","127","","2219","9138","n/e","n/e","0","60","n/e","32","n/e","719"
"Norway (NO)","01.01.2022 06:00 - 01.01.2022 07:00 (UTC)","0","n/e","n/e","84","n/e","n/e","n/e","n/e","n/e","135","","2239","9050","n/e","n/e","0","52","n/e","28","n/e","901"
"Norway (NO)","01.01.2022 07:00 - 01.01.2022 08:00 (UTC)","0","n/e","n/e","85","n/e","n/e","n/e","n/e","n/e","140","","2249","9361","n/e","n/e","0","48","n/e","31","n/e","1146"
"Norway (NO)","01.01.2022 08:00 - 01.01.2022 09:00 (UTC)","0","n/e","n/e","84","n/e","n/e","n/e","n/e","n/e","143","","2266","9692","n/e","n/e","0","48","n/e","35","n/e","1603"
"Norway (NO)","01.01.2022 09:00 - 01.01.2022 10:00 (UTC)","0","n/e","n/e","84","n/e","n/e","n/e","n/e","n/e","142","","2246","9848","n/e","n/e","0","49","n/e","33","n/e","2095"
