KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
DOĞAL GAZ,25739.23,MWH,13710.85,13713.04,13716.08,13695.42,13702.52,13699.62,13707.81,13804.55,13800.78,13754.53,13728.87,13699.12,13678.32,13654.25,13633.78,13618.67,13631.41,13658.39,13720.1,13755.17,13775.4,13787.7,13769.06,13764.25,2020-12-05
BARAJLI,22868.759,MWH,15541.61,15506.59,15506.59,15475.59,15475.59,15475.59,15475.59,15475.59,15320.59,15320.59,15386.61,15543.61,15543.61,15543.61,15543.61,15546.61,15298.71,15402.71,14939.71,15482.61,15381.61,15501.61,15501.61,15501.61,2020-12-05
LİNYİT,10275.732,MWH,4265.15,4289.15,4289.15,4078.15,4080.15,3960.15,3960.15,3980.15,4060.15,3827.15,3832.15,4072.15,3988.15,3983.15,3983.15,4015.15,4015.15,3993.15,4020.15,4019.15,4024.15,4025.15,4045.15,4095.15,2020-12-05
İTHAL KÖMÜR,9016.25,MWH,7341.9,7342.9,7339.7,7340.7,7337.9,7336.9,7336.2,7349.5,7347.5,7353.5,7354.5,7340.2,7591.2,7787.2,7914.2,7951.5,7948.5,7946.5,7947.5,7946.5,7950.2,7951.2,7952.2,7953.2,2020-12-05
RÜZGAR,8515.774,MWH,1368.74,1249.2,1121.57,1066.22,1039.24,946.5,900.27,837.35,782.0,720.48,656.49,555.83,498.22,460.21,425.55,403.92,463.37,560.94,674.39,746.03,843.68,891.62,901.9,828.14,2020-12-05
AKARSU,8122.324,MWH,1938.91,1960.59,2001.17,1950.02,1981.51,1870.24,1882.51,1900.51,1952.48,1952.34,2016.4,2040.04,1924.83,1943.28,1937.49,1972.98,2048.83,1956.66,2065.8,2068.66,2042.83,2024.3,2001.55,1969.82,2020-12-05
JEOTERMAL,1650.963,MWH,1056.4,1067.6,1067.5,1072.5,1072.7,1074.8,1075.5,1072.2,1071.8,1063.8,1052.0,1037.8,1022.5,1010.41,999.9,995.2,995.0,1001.7,1020.2,1031.5,1043.9,1051.2,1054.8,1060.6,2020-12-05
BİYOKÜTLE,993.552,MWH,477.65,480.25,476.45,470.41,481.51,480.21,482.91,486.47,492.21,484.15,484.45,486.05,490.15,497.25,494.58,489.09,484.39,484.01,487.49,488.32,491.89,491.39,486.16,484.96,2020-12-05
TAŞ KÖMÜR,844.766,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-05
ASFALTİT KÖMÜR,405.0,MWH,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,2020-12-05
GÜNEŞ,317.675,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.52,57.53,151.2,216.07,250.24,259.95,244.13,207.76,138.86,46.87,2.92,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-05
ATIK ISI,162.625,MWH,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.6,10.6,10.6,10.6,11.6,11.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,2020-12-05
FUEL OİL,158.48,MWH,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2020-12-05
NAFTA,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-05
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-05
